Nama,Alamat,Titik Koordinat
Trends Cafe & Resto,Jl.Pahlawan No.89 ,"-6.893759625896453, 107.63472309325331"
Sunday Bowl Cereal Club,Jl. Kemuning No.8,"-6.914276029848108, 107.62742016441777"
Tiga Outdoor Cafe,Jl.Hasanudin No.10,"-6.894779265150881, 107.61448486441776"
Shakira Cafe Bandung,Jl. Surapati No.187,"-6.89817467428236, 107.63152882024009"
Black Ground Cafe & Eatery,Jl. Banceuy No.3,"-6.919504332795737, 107.60650829325328"
Victoria Bakery,Jl. Pagar Gunung No.2,"-6.896619068709337, 107.61515063558222"
Urban Story,Jl. Linggawastu No. 8,"-6.902886119197765, 107.605633537431"
The Milk Bar,Jl. Sultan Tirtayasa No.27,"-6.903066772480553, 107.61493177791111"
Svbliminal Studio & Cafe,Jl. Wira Anggun,"-6.903509689496111, 107.61404582208884"
Grind Joe Coffee,Jl. Ir. H. Juanda No.69,"-6.900086530848164, 107.6121469797599"
Old Ben'S Dago,Jl. Diponegoro No.3A,"-6.900116326365994, 107.61367195092438"
-6.904025599233756 107.6227358267998,Jl. Progo No.2 ,"-6.904564673357175, 107.61712074907562"
Yumaju Coffee,Jl. Maulana Yusuf No.10,"-6.901272167049634, 107.61374407791116"
U&Kl Kitchen,Jl Trunojoyo No.4,"-6.906003621232925, 107.61295540674669"
Amore Gelato & Coffee,Jl. L. L. R. E. Martadinata No.69,"-6.9057298290190685, 107.61800717975993"
Naked Brown Coffee & Pairings,Jl. Trunojoyo No.22,"-6.904294618063691, 107.61351640674668"
Preanger Point At Centropunto,Jl. Trunojoyo No.58,"-6.901926584802467, 107.61559423558221"
Whatever Coffee And Bar,Jl. Diponegoro No.09,"-6.900087424105687, 107.61421715092438"
Salatri 13 Cafe,Jl. Sultan Agung No.13,"-6.9039574771448295, 107.61216292024005"
Etc Steak,Jl. Trunojoyo No.40,"-6.902197269822497, 107.61437172208883"
Cups (Coffee & Kitchen),Jl. Trunojoyo No.25,"-6.902269427383352, 107.61376736441777"
