Nama,Alamat,Titik Koordinat
Karnivor Restaurants,Jl. L. L. R. E. Martadinata No.127,"-6.906626082050545, 107.62386909611313"
Rose Flower Restaurant,Jl. Jend. A. Yani No.32,"-6.920529025403225, 107.61878361145645"
Dapoer Pandan Wangi,Jl. Patuha No38,"-6.9272631407816485, 107.6239061267998"
Glosis Restaurant,Jl. Citarum No. 12,"-6.9042812241241185, 107.62290748817311"
Dakken Restaurant,Jl. L. L. R. E. Martadinata No.67,"-6.90493719726301, 107.61759004214312"
Captain'S Seafood,Jl. Soka No. 17,"-6.9145917039478055, 107.62758725748644"
Eatalia Italian Delights,Jl. Lengkong Besar No. 45,"-6.923292253486892, 107.6117528807698"
Al Jazeerah Signatur Middle East Restaurant,Jl. Ternate No. 3,"-6.9071397250803255, 107.61423001145644"
Paviliun Sunda,Jl. L. L. R. E. Martadinata,"-6.904716516803496, 107.62006802679979"
Braga Permai,Jl. Braga No. 58,"-6.916515838604093, 107.60952465748643"
Korean 28,Jl. Gandapura No. 71C,"-6.911072835443301, 107.62639488076978"
Kedai Nyonya Rumah,Jl. Naripan No.92C,"-6.920343545684176, 107.61702294214311"
The Restaurant At The Luxury Hotel,The Trans Luxury Hotel Lt. 3 Jl. Gatot Subroto No.289,"-6.925284156994525, 107.63653569080545"
Midori Japanese Restaurant Bandung,Jl. Sultan Tirtayasa No. 31,"-6.90247318740571, 107.61538587282978"
Pepper Lunch Trans Studio Mall Bandung,Jl. Gatot Subroto No. 289,"-6.92398583655006, 107.63637830405314"
Qahwa,Jl. Progo No.1,"-6.903376497801864, 107.61742920351645"
Sushi No Mori,Jl. L.L.R.E Martadinata No.193,"-6.9107694141182225, 107.62787976542646"
X. O Suki Signature,Jl. Gatot Subroto No. 289,"-6.9253601378349225, 107.63641198817312"
Rumah Makan Ny. Tjoan,Jl. Saad No. 26,"-6.918889259511264, 107.61408159611311"
The 18Th Restaurant And Lounge,The Trans Luxury Hotel Lt. 18 Jl. Gatot Subroto No.289,"-6.926281756675755, 107.63597702679978"
Bobowl,Jl. Ambon Depan Smpn 7 No.16,"-6.906350796658808, 107.61895790351642"
Jumbo Eatery,Jl. L.L.R.E Martadinata No.22,"-6.905612798814557, 107.6143316807698"
Lalune Luncheonette,Jl. Trunojoyo No. 32,"-6.902680596266871, 107.61322378076977"
Nanny'S Pavillon,Jl. L.L.R.E Martadinata No.125,"-6.907563657275185, 107.6238698779104"
Shabu Hachi Cilaki Bandung,Jl. Cilaki No. 41,"-6.905156534118725, 107.6270241556452"
Delicacies House,Jl. Ciliwung No. 14,"-6.9058275475574025, 107.62600491624111"
Ma' Uneh,Jl. L.L.R.E. Martadinata No. 157,"-6.909285507075681, 107.62640949135661"
Rumah Makan Boemi Mitoha,Jl. Ciliwung No. 15,"-6.905071325994912, 107.62606928925614"
Donwoori,Jl. Lombok No.53,"-6.906392099712346, 107.62050658459883"
Sumeragi Izakaya,Jl. L.L.R.E. Martadinata No. 55,"-6.905849564753896, 107.61562362308678"
Marugame Udon,Jl. L. L. R. E. Martadinata No.112,"-6.909736448235917, 107.62559722049309"
Fogo Brazilian Bbq,Jl. Ciliwung No. 1,"-6.904821894953847, 107.62303840669995"
Pochajjang Korean Bbq,Jl. Bahureksa No. 21,"-6.904760498841054, 107.6154781132463"
Mai Suki ,Jl. L. L. R. E. Martadinata No. 18,"-6.906714291954843, 107.61338599021627"
Mister Baso,Bip Lt. Gf Jalan Merdeka No. 56,"-6.907806681793756, 107.61105783279025"
Parc De Ville Restaurant,Jl. Merdeka No. 25- 29,"-6.909042190951362, 107.60996349152407"
Bmc (Bandoengsche Melk Centrale),Jl. Aceh No.30,"-6.910317637779744, 107.60795478984471"
Pillow Cake,Jl. Aceh No. 15,"-6.909853657788243, 107.60630629952128"
Grand Eastern Restaurant & Ballroom,Jl. Pasir Kaliki No.18,"-6.915076568404112, 107.59833477432923"
Mandarin Restaurant,Jl. Kebon Kawung No.45-47,"-6.912206837125705, 107.59827442462706"
Tjiang Resto,Jl. Pasir Kaliki No. 57,"-6.91064115874257, 107.59767360982045"
Ahong Restaurant,Jl. Kebon Kawung No. 57,"-6.912164233717359, 107.59861774738302"
Sin Sin Chinese Food Restaurant,Paskal Hyper Square Blok C-18,"-6.914399577001287, 107.59707279498592"
May Star Restaurant,Jl. Kebon Jati No. 188,"-6.914950090238553, 107.59403653438308"
Mas Gondrong Seafood Resto,Jl Kelenteng No. 22,"-6.918073425281308, 107.59312659497523"
Queen Legend Restaurant,Jl. Garuda No. 63,"-6.912234752424515, 107.57798017786412"
Grand Matleen,Jl. Abdul Rahman Saleh No. 9,"-6.907085079042842, 107.58575052481318"
Dapur Dahapati,Jl. Bengawan No 3,"-6.912452277625482, 107.63261194457769"
Ayam Sawce,Jl Sukabumi No. 5,"-6.916797804517639, 107.63261194457769"
Hakata Ikkousha,Jl. L. L. R. E. Martadinata No. 172,"-6.914625046067696, 107.62960787054456"
Ayam Bakar Wongsolo Bandung,Jl. L.L.R.E. Martadinata No. 152,"-6.912537484419276, 107.6291358017679"
Burgertard,Jl. Kalimantan No. 5,"-6.912982019109574, 107.6150409130449"
Cici Claypot,Jl. Anggrek No. 43,"-6.910662931407704, 107.62930746314125"
Sari Rasa Sambel Hejo ,Jl. Sukabumi No. 3,"-6.916797804517626, 107.63205404511439"
Warong Omamie,Jl. Jakarta No. 1,"-6.912835708076524, 107.63458605037087"
Rumah Makan Mangga Jaya,Jl. Jenderal Ahmad Yani No. 257,"-6.913687774631664, 107.63149614565108"
Sate Abg,Jl. Sukabumi No. 28,"-6.916515180193766, 107.63377370890574"
Warung Dulukala & Rm Ibu Haji Cijantung,Jl. Kemuning No. 15,"-6.913703371452746, 107.62806596818464"
Nasi Bancakan Wassalam Abah Barna,Jl. Trunojoyo No. 62,"-6.900936765918942, 107.61585563402681"
Burgreens Bandung,Jl. Cimanuk No. 6,"-6.9039892991536735, 107.62030576542647"
Ta Wan Restaurant,Trans Studio Mall Lt. 2 Unit A207 & Ck02 Jl. Jend Gatsu No.289,"-6.924090641307839, 107.6364399807698"
Sushi Tei,Jl. Sumatera No. 9,"-6.909757134178349, 107.61399954393629"
Shabu Kojo,Jl. Progo No. 20,"-6.895782932690744, 107.61674612590943"
Gormeteria ,Jl. Pasir Kaliki No.176,"-6.893737893000568, 107.59649008385749"
Sedep Malam,Jl. Burangrang No. 11,"-6.916573668005133, 107.61949270788259"
Restoran 499,Jl. Jenderal Ahmad Yani No. 687,"-6.896805449225631, 107.64798849585397"
Sambara Authentic Food,Jl. Trunojoyo No. 64,"-6.892033686517298, 107.6157161576695"
Purnawarman Restaurant,Hilton Bandung - Lobby Level Jl. Hos Tjokroaminoto No.41-43,"-6.906348830404154, 107.59752005209742"
Raja Sunda,Jl. Dr. Djunjunan No. 63,"-6.8876027209899675, 107.59202688815112"
Hashtagfoodstationbandung,Jl. Lombok No. 47,"-6.902691632524156, 107.62043941765889"
Konro Marannu,Jl. L.L.R.E. Martadinata No. 189,"-6.90694749966867, 107.62778849101377"
Ponyo Malabar,Jl. Malabar No. 60,"-6.915551194200184, 107.6242992263356"
Masa,Jl. Trunojoyo No. 29,"-6.89135200220833, 107.61365622118964"
Musouya Authentic Japanese Restaurant,Jl. Hegarmanah No. 2A,"-6.873627866392861, 107.60198324780377"
Imperial Chinese Restaurant,Jl. Braga No. 129,"-6.907712154861463, 107.60884970273665"
The Restaurant - Padma Hotel Bandung,Jl. Rancabentang No. 56-58,"-6.854880465052922, 107.60884970273665"
Tizi Cake Shop & Restaurant,Jl. Kidang Pananjung No. 3,"-6.875332138969433, 107.61262625294971"
Kehidupan Tidak Pernah Berakhir,Jl. Padjajaran No. 63,"-6.897487125689329, 107.59717672935076"
Sindang Reret,Jl. Surapati No. 53,"-6.891011159686256, 107.62120932161581"
Pinuka Catering & Resto,Jl. Naripan No. 131,"-6.8930562111426, 107.61399954393629"
Suis Butcher Steak House,Jl. L. L. R. E. Martadinata No. 201,"-6.9046446693070544, 107.62979239028188"
Miss Bee Providore,Jl. Rancabentang No.11A,"-6.860334330682452, 107.60884970273665"
Mikawa (Japanese Restaurant),Jl. Gunung Batu ,"-6.888776248869497, 107.57541587445999"
Restoran Raja Rasa,Jl. Setraria No.1,"-6.8762848836640345, 107.58492381997425"
Kambing Bakar Mbakarin Kambing,Jl. Natuna No.35,"-6.912754776484401, 107.61599452934429"
Restoran The Volcano,Setrasari Mall Jl. Surya Sumantri No.60,"-6.877137015951468, 107.58286388355076"
Osteria Bandung,Jl. Lemah Nendeut No.9,"-6.878159572678745, 107.57925899480962"
Um. Coffee And Social,Jl. Sukajadi No.181,"-6.879693408230363, 107.59694009404129"
Chung Gi Wa Korean Bbq,Jl. Lemah Nendeut No.87-89,"-6.878142746133689, 107.57978720624823"
Rijsttafel Resto,Jl. Pasir Kaliki No. 67,"-6.906368896370413, 107.59726244487962"
Bandung Suki,Jl. Braga No.70,"-6.913571948310381, 107.60907040624822"
Guzzbun Paris Van Java,Paris Van Java Resort Level Unit 58,"-6.885916505451091, 107.5970978903541"
Nara Park Bandung,Jl. Rancabentang No.28,"-6.863383338226226, 107.6090757994051"
Kalpa Tree Dine And Chill,Jl. Kiputih No.37,"-6.862057456569283, 107.60970080624821"
Ayam Kremes Dds,Jl. Cihampelas No. 23-25,"-6.895698129024813, 107.60508272618269"
Zenbu,Paris Van Java Jl. Sukajadi No.131-139,"-6.886001327927597, 107.59571856761684"
Mamayu Mie Bakso,Jl. Sunda No. 60Kb,"-6.914600932660803, 107.61879335172273"
Iga Bakar Si Jangkung,Jl. Cipaganti No.75G,"-6.890259499581642, 107.60284301309136"
Spice Affair Bandung Indian Fusion Cuisine,Jl. Sukajadi No. 186,"-6.880534162922187, 107.59758741309135"
Waroeng Ethnic,Jl. Rancabentang No. 18,"-6.866301478647867, 107.60696792214236"
Bornga Restaurant,Tama Boutique Building Lt. 1&2 Jl. Dr. Rajiman No.5,"-6.9005039708303055, 107.59791992214234"
Maxi'S Resto,Jl. Gunung Agung No.8,"-6.864415365308329, 107.60748979035408"
Paskal Food Market,Paskal Hyper Square Jl. Pasir Kaliki No.25-27,"-6.910880115983707, 107.59346059719722"
Rm. Puri Bambu,Jl. Sindang Sirna No.14,"-6.910880115983707, 107.59346059719722"
Jing Paradise Chinese Fine Dining Restaurant,Jl. Dr. Setiabudi No.269-275,"-6.8509477756911545, 107.59562524267172"
Wongkie Kopitiam,Setrasari Mall B3-51,"-6.878257968495448, 107.58219386761685"
Feast Restaurant,Hotel & Towers Sheraton Bandung Jl. Ir H. Juanda No.390,"-6.870660776833745, 107.62045770154299"
Lotek Mahmud,Jl. Mahmud Iv No.9,"-6.898382352388976, 107.59377907666784"
Restoran Dunia Baru,Jl. Gardujati No.39,"-6.915794386805269, 107.59775954487962"
Gyu-Kaku Pvj,Pvj Resort Level Jl. Sukajadi No.131-139,"-6.886151094681692, 107.59590866761681"
Rumah Makan Subur (Yosunbie),Jl. Mayor Sunarya No.21,"-6.915169303638316, 107.60315930624822"
Queen Restaurant,Jl. Dalem Kaum No.79,"-6.918747955164904, 107.61019742236186"
Hardy'S Dining Room,Jl. Dr. Setiabudhi No.269-275,"-6.851759638548554, 107.59417744487958"
Kapulaga Indonesian Bistro,Jl. Dayang Sumbi No. 3,"-6.883687642744483, 107.6120708448796"
Phoenix Restaurant,Jl. Jendral Sudirman No. 58,"-6.917132384719446, 107.60111262214234"
Gading Chinese Food Restaurant Sukajadi,Jl. Sukajadi No. 228,"-6.899853015725, 107.61540732898547"
Shaburi & Kintan Buffet,Jl. Sukajadi No. 136,"-6.885814317762976, 107.5959221448796"
Gyu-Kaku Citarum Bandung Wetan,Jl. Pangeran Kornel No. 7,"-6.895924621154219, 107.61314580624823"
Sekar Seafood,Jl. Suniaraja No.41,"-6.911061729168432, 107.60741416761685"
Kaligane Seafood Restaurant,Jl. Sukawarna,"-6.890591742419615, 107.58618150624822"
The Windchime,Jl. Arjuna No.63A,"-6.907343775244421, 107.59102565172272"
Saka Bistro & Bar,Jl. Karangsari No.2,"-6.876875584048896, 107.59798368351098"
Ayam Goreng Suharti,Jl. Cipaganti No. 171,"-6.880062387744622, 107.60123282898547"
Charm Thai,Ruko Paskal Hyper Square Blok A No.11-12,"-6.911275581045071, 107.59646189940513"
Pork & Grill,Jl. Mekar Laksana No. 21C,"-6.949760212439648, 107.60538746761686"
Nana Heritage Kitcchen & Coffee Corner,Jl. Dr. Setiabudi No.276A,"-6.857447609431667, 107.59471580624822"
Hefu Restaurant,Jl. Gardujati No.81-83,"-6.913797749939481, 107.59868481309137"
Bawean Resto,Jl. Gandapura No. 43,"-6.909346498446923, 107.62612252670765"
Jiganasuki,Jl. Sukajadi No. 201,"-6.875705986659836, 107.59599066857251"
Mujigae Resto,Young Street Cihampelas Walk,"-6.875705986659836, 107.59599066857251"
Tokijiro Japanese Cuisine ,Jl. Aria Jipang No. 4,"-6.897444094703114, 107.61547290719919"
Saisan Japanese Cuisine,Jl. Hegarmanah No. 28,"-6.874266543068495, 107.60071002909355"
Arang 123,Jl. Sukahaji No. 123,"-6.865810768106159, 107.5855600826321"
Djava 32,Jl. Jawa No. 32,"-6.912668213499203, 107.61496396669646"
Warung Bi Eem,Jl. Panaitan No. 22,"-6.914064387937284, 107.6171061685725"
Congo Gallery & Cafe,Jl. Ranca Kendal Luhur No. 8,"-6.86359451438843, 107.62773876857251"
Kambing Bakar Cairo,Jl. L.L.R.E. Martadinata No. 121,"-6.903353235697707, 107.62281534582587"
Bebek Ali Borme,Jl. Teuku Umar No. 6 Blok 60,"-6.887674623057131, 107.61577722951967"
Damai Restaurant,Jl. Resor Pakar Raya No.2B,"-6.861071320334022, 107.64204370719918"
The Duck King,Paris Van Java Lt. Gf Unit C18,"-6.885480803796236, 107.59652860719919"
Maboo Bbq Resto,Jl. Mekar Utama No. 81,"-6.949038809336896, 107.60577984582586"
Hongkong Restaurant,Jl. Jend. Sudirman No. 151-153,"-6.917002448801665, 107.59891339089299"
The Food Opera Express,Jl.Gandapura No. 27,"-6.912413271113167, 107.62570886857252"
Street Grill And Friends,Jl. Cihampelas No. 211-217,"-6.882855338714884, 107.60432245269246"
Gelora Minang Restaurant,Jl. Lembong No. 22,"-6.91237858222499, 107.61046171113729"
Tanggo Pork Resto,Jl. Taman Cibunut Utara No. 14,"-6.912925477460356, 107.6150631685725"
Prabhu Curry House,Jl. Prabu Dimuntur No. 18,"-6.8951438324115495, 107.61550435269245"
Mie Rica Kejaksaan,Jl. Kejaksaan No. 7,"-6.913394035479609, 107.60924776170589"
Ta Wan Paris Van Java,Jl. Sukajadi No. 131-139,"-6.882203756513201, 107.59421825337942"
Thai Palace Restaurant,Jl. Ir. H. Juanda No. 345,"-6.87111538371265, 107.61832594797984"
Giggle Box Bip,Bandung Indah Plaza Lantai 1 No. 39,"-6.904753547047956, 107.61051432307924"
Warung Nasi Aning,Gg. H. Gojali No. 231,"-6.890427327311539, 107.59239435414801"
Saffron Restaurant,Jl. Ir H. Juanda No. 46,"-6.893603261451252, 107.61531882994585"
Subur Warkop Antapani,Jl. Purwakarta No. 71,"-6.916458502713423, 107.65543452196997"
Soto Bandung M Tarya,Jl. Sawah Kurung No. 16,"-6.924959574568316, 107.61291557112604"
Centro 58 Food Centre,Jl. Truno Joyo No. 58,"-6.900447664413932, 107.61578128599146"
Madame Sari,Jl. Ir H. Juanda No. 85,"-6.895677751366538, 107.61234094288956"
Danau Sentani,Jl. Ciumbuleuit No. 6Q,"-6.879450327826621, 107.60393857918434"
Punclut,Jl. Ciumbuleuit ,"-6.8570676571952385, 107.61245995725837"
Rm. Sangkan Hurip Punclut,Jl. Dago Atas Blk. M No. 7A,"-6.850761671253458, 107.61383127687628"
Tian Jing Lou,Intercontinental Pakar,"-6.865308308504622, 107.64190724230329"
The White Clover,Jl. Dr. Cipto No. 24,"-6.902964133865074, 107.6015272820371"
Park Slle Pizzeria,Jl. Pendawa No. 30,"-6.907655571379085, 107.59465411268658"
Sate Taichan Bengawan,Jl. Taman Cibeunying No. 05,"-6.906073235978197, 107.62612044789917"
Sate Ayam Kambing Pedas Pepen,Jl. Terusan Cikutra No. 2,"-6.894825652665238, 107.6405400034252"
Sate Solo Pak Surip 2,Jl. Ph. H. Mustofa No. 112,"-6.898404458130929, 107.64474570711882"
Warung Sate Solo Pak Sidik 3,Jl. Ph. H. Mustofa No. 112,"-6.89559254184108, 107.63504683952614"
Rumah Makan Kurdi,Jl. H. Kurdi 1 No. 1,"-6.941965721877262, 107.60474324190882"
Pinukka Catering & Resto,Jl. Naripan No. 131,"-6.9175808615263135, 107.61869242994584"
Dapur Eyang,Jl. Tubagus Ismail Raya No. 11,"-6.880809729706834, 107.61545526170589"
Wingz O Wingz,Jl. Naripan No. 42A,"-6.916622832662541, 107.61410732994582"
Rm Manggis Chinese Food,Taman Holis Indah 1 Blok C4,"-6.943799044555229, 107.56306761750709"
Brother Jonn & Sons,Jl. Ciumbuleuit No. 107,"-6.87566383978243, 107.60319126857252"
Dancing Crab Bandung,Jl. Sumatera No. 21,"-6.914068329829506, 107.6131091071992"
Java Dimsum,Jl. Jawa No. 42,"-6.913233056513914, 107.61574079500814"
Redsdipo,Jl. Dipatiukur No. 5,"-6.895905588324928, 107.61410766759593"
Qooqoo Sushi,Jl. Lemahnendeut No.77/78,"-6.881821346569896, 107.57941919325374"
Goldstar 360,Jl. Dangdeur Indah No. 2B,"-6.883898392161372, 107.58217650408821"
La Costilla ,Jl. Prof. Dr. Sutami No. 98,"-6.878483694806889, 107.58458107705378"
Gion Izakaya,Jl. Dr. Djunjunan No. 588,"-6.890758855544909, 107.57864668960632"
Joglo Pujasera,Jl. Dakota No. 1,"-6.893588108895023, 107.57260501380229"
Pillow Park Cafe,Gg. Dakota Raya No. 48,"-6.891555042430248, 107.57232673461611"
Wingz O Wingz,Jl. Bkr No. 93,"-6.93733259810636, 107.61412628699723"
Kantin Rai,Jl. Moch. Ramdan No. 16,"-6.931903245455397, 107.61440676716975"
Warung Nasi Ampera,Jl. Soekarno Hatta No 394,"-6.947162982686018, 107.60496975456822"
Shsd Sambel Hejo Sambel Dadak,Jl. Raden Rangga Kencana No. 60,"-6.951566764419547, 107.5992769001012"
Rumah Makan Pak Ahmad,Jl. Indrayasa No. 4,"-6.951268565271346, 107.59352624409493"
Saung Lesehan Mang Ipik,Jl. Cibaduyut Raya No 60,"-6.9589737575153645, 107.59298443781498"
Samara Sunda,Jl. Soekarno Hatta No 140,"-6.932593466596952, 107.57684558611786"
Rumah Makan Sari Rasa Sambel Hejo,Jl. Soekarno Hatta No. 71,"-6.924413891802136, 107.57517188772795"
Alam Desa,Jl. Nana Rohana No. 60,"-6.920917825611274, 107.57714062910406"
Rm. Megawati,Jl. Jend. Sudirman No. 518I,"-6.917296587500239, 107.58477956048188"
Sate Dj ,Jl. Jend. Sudirman No. 276,"-6.918574674687274, 107.59417802067122"
Sate Sj ,Jl. Pagarsih No. 54,"-6.921812480151029, 107.5956371425514"
Sudirman Street Day And Night Market,Jl. Jend. Sudirman No. 107,"-6.921812480151029, 107.5956371425514"
Kantin Qiu 243,Jl. Cibadak No. 245,"-6.92073606874868, 107.59435573853003"
Rumah Makan Hock Kie,Jl. Jend. Sudirman No. 222,"-6.919538563179769, 107.5958631210599"
Ya Xiu Kitchen,Jl. Jend. Sudirman No. 213,"-6.919890035831989, 107.59681798744765"
Kandang Ayam Kebon Jati,Jl.Kebon Jati No. 141,"-6.916375297514511, 107.59568073084306"
Above And Beyond Paskal Hyper Square,Paskal Hyper Square Jl. Pasir Kaliki No.23,"-6.91458530040245, 107.59233132000118"
Rm Ciganea Mang Idjot Pajajaran ,Jl. Pajajaran No. 84B,"-6.906384111506741, 107.59416595094841"
Kajojo Sajian Sunda,Jl. Pajajaran Arjuna,"-6.9067429164617895, 107.58947409684919"
Warung Nasi Ampera,Jl. Pajajaran No. 133,"-6.906996542830962, 107.58941173548756"
Boston,Jl. Raya Cijerah No.26A,"-6.912834249114108, 107.57079116931332"
Rm Mang Kabayan Bandung,Jl. Soekarno Hatta No. 487,"-6.948962840405183, 107.62530438599617"
Rm Padang Ayah,Jl. Waas No. 2,"-6.950869191088363, 107.62609966096909"
Cepotatoes,Jl. Waas 1 No. 6,"-6.951002315855127, 107.62667901811737"
Foodlife Toserba Griya Batununggal,Jl. Batununggal Indah 1 No.19-21,"-6.952706309424156, 107.62777335939846"
Kedai Abc Chinese Food,Jl. Parakan Waas V,"-6.952445385837781, 107.62907691298712"
13 Cups Coffee House,Komplek Batununggal Indah Ruko No. 178,"-6.9546019950420535, 107.63055749235808"
Samo Bundo Ii,Jl. Mengger Tengah,"-6.959641366415959, 107.62304194270253"
Sate Taichan Kojona,Jl. Batununggal Jelita I No.3,"-6.957287059461434, 107.63435599439313"
Rm. Tungku Semarang Restaurant,Jl. Batununggal Indah Raya No. 175,"-6.953834145194021, 107.62863055159639"
Khao San Road Indonesia,Jl. Batununggal Indah Raya No. 71,"-6.953207521988585, 107.62503873233459"
Soto Sapi Seteran Semarang,Jl. Batununggal Indah Raya Ruko No. 87,"-6.9531656435530484, 107.6251725005912"
Manjabal 2 Sundanese Restaurant,Jl. Cijagra No. 66,"-6.9469869604642875, 107.6258251562133"
Seafood 68 Cahaya Brebes,Jl. Waas,"-6.948776168813227, 107.62608264827325"
Bamboo Dimsum Talaga Bodas,Jl. Talaga Bodas No. 46,"-6.928064364003535, 107.62238949527863"
Se'I Sapi Lamalera,Jl. Emong No. 9,"-6.924427204860164, 107.61831790199578"
Parte Ceker Rempah ,Jl. Burangrang No. 22,"-6.925385756153998, 107.61943370098557"
Bakso Enggal Malang,Jl. Burangrang No. 12,"-6.924443180727425, 107.61969923963804"
Bakso Boedjangan Burangrang,Jl. Burangrang No. 38A,"-6.926488087679046, 107.61946320529061"
Nasi Jamblang Asli Khas Cirebon,Jl. Sadakeling No. 11,"-6.92770224697956, 107.61791825283801"
Bakso So'Un & Mie Ayam Lodaya,Jl. Veteran No. 3,"-6.917802497426641, 107.61392042031409"
Marase,Jl. Cimanuk No. 15,"-6.902655585656594, 107.62133701526105"
Pasar Cisangkuy Food Market,Jl. Cisangkuy No. 64,"-6.901633081754375, 107.62146576129105"
Ayam Bakar Taliwang Bersaudara,Jl. Citarum No. 29,"-6.902433244498849, 107.62370645993362"
Neduh Kopi Di Halaman Terakhir Dimsum,Jl. Terusan Ciliwung No. 17,"-6.902795380912503, 107.6299481588762"
Seafood Kiloan Bang Bopak,Jl. Brigadir Jend. Katamso No. 33,"-6.903849835455274, 107.631772060985"
Rsj Rumah Seafood Jalanan,Jl. Muararajeun Baru V No. 11,"-6.904854360978604, 107.630425393537"
Restoran Sederhana Masakan Padang,Jl. Supratman No. 41,"-6.904683278912951, 107.6284197717459"
Baso Aci Ganteng,Jl. Japati,"-6.895376188303329, 107.61891804630862"
Bebeke Om Aris,Jl Dipati Ukur,"-6.894488140774151, 107.61761650438302"
Pattaya Steamboat Yakiniku,Jl. Hasanudin No. 26,"-6.894914190784155, 107.61653289196097"
Becky'S Brunch & Dine,Jl. Kyai Gede Utama No. 25,"-6.895029357344788, 107.61376418168672"
Zona Merah (Zomer) Sukajadi,Jl. Sukajadi No. 57,"-6.893306515730221, 107.59699434037334"
Sunda Bambu Restaurant,Jl. Dr. Djunjunan No. 168,"-6.892740666075462, 107.58623264725449"
Restoran Simpang Raya,Jl. Dr. Djunjunan No. 182,"-6.8919950749402075, 107.58541725571895"
Baso Solo Condong Raos,Gg. Sukawarna Ii Padjajaran ,"-6.893916301190378, 107.58445098991545"
Nakula Babi Matah Made Eric,Jl. Mekar Utama No. 93,"-6.954486842996747, 107.60851509864504"
Chinese Restaurant 99,Jl. Mekar Utama No. 99 - 100,"-6.9542738449483075, 107.6082683354209"
Pho Ngon,Jl. Mekar Utama No. 45,"-6.953624200304087, 107.6075173169126"
Sawasdee Thai Restaurant,Jl. Mekar Utama I No. 10,"-6.952732268661646, 107.60634317989316"
Kedai Kopi Oh,Jl. Mekar Laksana No. 11,"-6.9527855184071266, 107.60451927777687"
Mie Kocok Mekarwangi,Jl. Mekar Makmur,"-6.9532541154288605, 107.60321035976536"
Ayam Goreng Sambal Jontor,Jl. Raden Rangga Kencana No. 2B,"-6.952632425463232, 107.60001383717069"
Warung Maniak,Jl. Indrayasa No. 156,"-6.951950828663817, 107.59556271131258"
Mergosari Restaurant,Jl. Pelajar Pejuang 45 No. 98,"-6.934810365928795, 107.62444310855078"
Sabrang Bi Oneng,Jl. Soekarno Hatta No. 473,"-6.948650974444342, 107.62082770669993"
Pak Kumis Restaurant,Jl. Soekarno Hatta No. 545,"-6.946079643890285, 107.63639128271326"
Warung Sate Sidareja Pak Gino,Jl. Batununggal Indah Raya I,"-6.95128587146518, 107.62684062114107"
Mie Baso Si Boy,Jl. Naripan No. 32,"-6.9200294554082715, 107.61322816053837"
Prima Rasa,Jl. Pasir Kaliki No. 163,"-6.902454546608523, 107.59717136612328"
Bebek Kaleyo Bandung,Komplek Bali Heaven Jl. Pasir Kaliki No. 185 - 189,"-6.900366931239491, 107.59702116242161"
Paradise Restaurant,Jl. Indrayasa No. 15,"-6.952074853093766, 107.59745115942988"
Yami Yami Noodle House,Jl. Sunda No. 53,"-6.918763915602468, 107.61764775572824"
Charada Korean Bbq,Jl. Kb. Jukut No. 25-29,"-6.914145718514025, 107.60628044038488"
He Fu Restaurant,Jl. Gardujati No. 81-83,"-6.916726716321162, 107.59822347477322"
Hong Sin,Jl. Banceuy No. 110,"-6.91567441832226, 107.60674180175822"
Sushi No Mori,Jl. L. L. R. E. Martadinata No. 193,"-6.911142195054872, 107.62797632504154"
Kedai Abu Bakar,Jl. Parakan Asri I No. 9,"-6.949950750151538, 107.63057029805655"
Carl'S Jr. Paskal Bandung,23 Paskal Mall Lt. 1 Unit 30 Jl. Pasir Kaliki No. 25-27,"-6.91402915725425, 107.59335293085294"
Ampera Restaurant Otista,Jl. Otto Iskandar Dinata No. 61,"-6.91522957406636, 107.6039396001663"
Cafe Sunda Pisan,Jl. Sukajadi,"-6.893842308991631, 107.5974164679801"
Park Slope Pizzeria,Jl. Pendawa No. 30,"-6.907646152465773, 107.59406907120032"
Mosaic Restaurant,Jl. Lembong,"-6.915570399306037, 107.61175019292484"
Tjoen Kie Restaurant,Jl. Jenderal Sudirman No. 62-64,"-6.918182257915927, 107.60180323771955"
Podjok Sunda Restaurant,Jl. Indrayasa No. 188,"-6.949905904239145, 107.59502851497292"
Warung Bu Kris,Jl. Maskumambang No. 27,"-6.9336806319009865, 107.62665026840622"
Rumah Makan Suryalaya 22,Jl. Suryalaya No. 22,"-6.941763376011282, 107.62273963085295"
Okoh Japanese Restaurant,Jl. Pelajar Pejuang 45 No. 121,"-6.933243148335575, 107.62514289007942"
Kunyit Restaurant,Jl. Ph. H. Mustofa No. 47/57,"-6.896806159695709, 107.6419404070329"
Thang Mien,Paskal Hyper Square Blok A. 41-42. Jl. Pasir Kaliki No. 25-27,"-6.913451648642942, 107.59574626947963"
Sederhana Sa Paskal,Jl. Pasir Kaliki No. 73,"-6.907071399453278, 107.59759311497291"
Suki Time ,Jl. Gatot Subroto No. 289,"-6.923459664642766, 107.63679764565957"
Nijuugo Resto,Jl. Bengawan No. 25,"-6.909944240682405, 107.63178710703289"
Asia Chinese Food,Jl. Lengkong Besar No. 71,"-6.922689165046054, 107.61097497741964"
Restoran Sederhana Masakan Padang,Jl. Soekarno Hatta No. 508,"-6.94486759176685, 107.63858174201826"
Mitra Sederhana Pasteur,Jl. Pelajar Pejaung 45 No. 64,"-6.930372853860943, 107.62573420963575"
Ten To Ten Cafe Gardapura,Jl. Gardaura No.40,"-6.912193869383832, 107.62626828428625"
