Jenis Usaha,Nama,Alamat,Titik Koordinat
Outlet,Adidas Outlet Dago,Jl. Ir H. Juanda No. 123,"-6.890279955952941, 107.61339052843395"
Outlet,Eiger,Jl. Pelajar Pejuang 45 No. 112,"-6.93251141208714, 107.62307514112626"
Outlet,Eiger Adventure Cihampelas,Jl. Cihampelas No. 22,"-6.90398199964887, 107.60461201101283"
Outlet,Pegashoes,Jl. Kembang Sapatu No. 3,"-6.917630849245296, 107.6245878965211"
Outlet,Fo Riau Stok Mall,Jl. L. L. R. E. Martadinata No. 160,"-6.912518306702773, 107.6291368858317"
Outlet,Export Station,Jl. Sumatera No. 24-30,"-6.914566983084818, 107.61395944297708"
Outlet,Fs Bodypack Eiger Store Dago,Jl. Ir. H. Juanda No. 88,"-6.89471339141491, 107.61327236979163"
Outlet,Consina Store Bandung,Jl. Lengkong Besar No. 79,"-6.925321832006346, 107.6123781586149"
Outlet,Istana Sepatu,Jl. Dalem Kaum No. 25,"-6.921761034164259, 107.60481619141463"
Outlet,Istana Sepatu Merdeka,Jl. Merdeka No. 23A,"-6.909031604124932, 107.61044795512679"
Outlet,Eiger Sumatera,Jl. Sumatera No. 23,"-6.915838350397886, 107.61338908638176"
Outlet,The Saparua,Jl. Ambon No. 15,"-6.907073430112584, 107.61679002283243"
Outlet,Cascade Fashion House And Home Living,Jl. L. L. R. E. Martadinata No. 65,"-6.905507734477263, 107.61738010469917"
Outlet,Under Armour Bandung,Jl. Ir. H. Juanda No. 23,"-6.904552125190411, 107.61046809552263"
Outlet,Terminal Tas,Jl. L. L. R. E. Martadinata No. 32,"-6.905681029509282, 107.61631843989505"
Outlet,Ibc Jeans & Factory Outlet,Jl. Cihampelas No. 114,"-6.897148511325782, 107.604214512886"
Outlet,Dearummanis Factory Outlet,Jl. Cihampelas No. 144,"-6.895486917998204, 107.60421449881454"
Outlet,Nike Factory Store,Jl. Ir. H. Juanda No. 145,"-6.888811226155463, 107.61281953085681"
Outlet,Episode,Jl. Ir. H. Juanda No. 125,"-6.89142587388843, 107.61278572240374"
Outlet,Macadamia Little Glamz,Jl. Bahureksa No.12,"-6.905373266499163, 107.61446943114248"
Outlet,Rabbani Kemko Buah Batu,Jl. Buah Batu No. 150,"-6.937375940087906, 107.62300645122797"
Outlet,Gani Factory Outlet,Jl. A.H. Nasution Km 10 No. 6-8,"-6.912032535092137, 107.69169095631952"
Outlet,House Of Donatello,Jl. Ir. H. Juanda No. 104,"-6.89234104056075, 107.61346546433096"
Outlet,Factory Outlet Tomkins,Jl. Gedebage Selatan No. 95,"-6.946721209427769, 107.68908069175131"
Outlet,Hypestore,Jl. Cihampelas No. 178,"-6.890222261711635, 107.60362729289436"
Outlet,C29 Factory Outlet,Jl. Cigondewah Kidul No. 29,"-6.929223077212588, 107.56495117580819"
Outlet,Puma Outlet,Jl. Ir. H. Juanda No. 119,"-6.891180218316193, 107.61247443290858"
Outlet,Factory Outlet Jba,Jl. Terusan Kipo Km. 13 No. 367,"-7.008748283355581, 107.55110083463344"
Outlet,Demoss Wisata Berbelanja Buah Batu,Jl. Buah Batu No. 149,"-6.9376468884924725, 107.62430449537621"
Outlet,Perahu Jeans Fashion Outlet,Jl. Cihampelas,"-6.895485724104602, 107.6039751223515"
Outlet,Minimal Rumah Mode,Jl. Dr. Setiabudi No. 41,"-6.882740667366009, 107.59984082444936"
Outlet,Grande Factory Outlet,Jl. Raya Pajajaran No. 76,"-6.6088744055930615, 106.81121596286543"
Outlet,Victoria,Jl. Ir. H. Juanda No. 111,-
Outlet,The Summit,Jl. Riau No. 61,-
Outlet,Level ,Jl. H. Juanda No. 138,"-6.888460102346018, 107.61374930585654"
Outlet,Renaritti,Jl. L. L. R. E. Martadinata No. 26,"-6.90648632941917, 107.61482717791989"
Outlet,Fo Warung Gaul,Jl. Cihampelas No. 151,"-6.894176718330846, 107.60374123767446"
Outlet,Sch Sultan Agung,Jl. Sultan Agung No. 3,"-6.904378931282043, 107.61130894064749"
Outlet,Adidas Surapati,Jl. Surapati No. 61,"-6.898692024208147, 107.62106783840336"
